code,name,mentions,latitude,longitude
MDV,Maldives,485,3.25,73
FIN,Finland,551,64,26
NER,Niger,1761,16,8
URY,Uruguay,1262,-33,-56
ZWE,Zimbabwe,2581,-20,30
PHL,Philippines,541,13,122
SDN,Sudan,2632,15,30
RUS,Russian Federation,325,60,100
CHN,China,4781,35,105
ESP,Spain,1421,40,-4
SUR,Suriname,507,4,-56
ARG,Argentina,1209,-34,-64
SLV,El Salvador,1101,13.8333,-88.9167
MYS,Malaysia,783,2.5,112.5
NPL,Nepal,895,28,84
PRT,Portugal,1771,39.5,-8
COL,Colombia,1159,4,-72
BLR,Belarus,519,53,28
MAR,Morocco,1429,32,-5
LCA,Saint Lucia,692,13.8833,-61.1333
EGY,Egypt,2356,27,30
MEX,Mexico,1640,23,-102
BEL,Belgium,557,50.8333,4
BRN,Brunei,280,4.5,114.6667
RWA,Rwanda,1915,-2,30
CAN,Canada,1135,60,-95
ALB,Albania,1443,41,20
GRC,Greece,881,39,22
KNA,Saint Kitts and Nevis,233,17.3333,-62.75
GUY,Guyana,606,5,-59
LBR,Liberia,2073,6.5,-9.5
ATG,Antigua and Barbuda,323,17.05,-61.8
MOZ,Mozambique,1891,-18.25,35
JPN,Japan,2911,36,138
YDYE,Democratic Yemen,52
GAB,Gabon,704,-1,11.75
BGD,Bangladesh,1284,24,90
SWE,Sweden,584,62,15
TUR,Turkey,1475,39,35
TCD,Chad,2123,15,19
SYR,Syria,3695,35,38
CMR,Cameroon,498,6,12
JAM,Jamaica,646,18.25,-77.5
LUX,Luxembourg,443,49.75,6.1667
ITA,Italy,918,42.8333,12.8333
AGO,Angola,4192,-12.5,18.5
CRI,Costa Rica,861,10,-84
CSK,Czechoslovakia,246
BFA,Burkina Faso,375,13,-2
MNG,Mongolia,987,46,105
BHR,Bahrain,608,26,50.55
HTI,Haiti,2531,19,-72.4167
OMN,Oman,387,21,57
CIV,Côte dIvoire,0,8,-5
TGO,Togo,673,8,1.1667
CYP,Cyprus,4391,35,33
